,x,Freq,Prop,CumProportion,skill_level,label
124,"Director, Data Science and Business Intelligence",1,0.19%,69.32%,senior,data science manager
125,"Director, Data Science Engineering",1,0.19%,69.51%,senior,data science manager
126,"Director, Data Science Integration",1,0.19%,69.70%,senior,data science manager
127,"Director, Enterprise Data and Analytics Solutions",1,0.19%,69.89%,senior,data science manager
128,"Director, Global Health Science-Infectious Disease",1,0.19%,70.08%,senior,data science manager
129,"Director, Medical Science Liaison, COPD",1,0.19%,70.27%,senior,other
130,Engineering Manager - Analytics & Data Science,1,0.19%,70.46%,senior,data science manager
131,"Engineering Manager, Data Science",1,0.19%,70.65%,senior,data science manager
132,Enterprise Data Architect,1,0.19%,70.84%,intermediate,data engineer
133,Entry Level Data Analyst with...,1,0.19%,71.03%,entry level,data analyst
134,"Entry Level Options Trader - Finance, Data, Analyst, Management - Work Remotely",1,0.19%,71.22%,entry level,data analyst
135,Experienced Data Analyst,1,0.19%,71.41%,senior,data analyst
136,Global Data Sciences Manager,1,0.19%,71.60%,senior,data science manager
137,Head Data Engineering & Science,1,0.19%,71.79%,senior,data scientist
138,Head of Biodiversity Informatics and Data Science,1,0.19%,71.98%,senior,data scientist
139,Head of Data Insights & Data Science,1,0.19%,72.17%,senior,data scientist
140,Head of Data Science,5,0.94%,73.11%,senior,data scientist
141,Health Data Analyst,1,0.19%,73.30%,intermediate,data analyst
142,Healthcare & Life Sciences Data Scientist,1,0.19%,73.49%,intermediate,data scientist
143,High School Science Teacher,2,0.38%,73.87%,entry level,other
144,Insight Analyst - Data Science,1,0.19%,74.06%,intermediate,data analyst
145,Intern - Data Engineer / Data Sciences Developer,1,0.19%,74.25%,intern,data scientist
146,Intern - Enterprise Data Science,1,0.19%,74.44%,intern,data scientist
147,Intern - Validation and Qualification Sciences Clerical Union Undergrad Year Round,1,0.19%,74.63%,intern,data scientist
148,Intern- Data Science,1,0.19%,74.82%,intern,data scientist
149,Intern- Data Science/Data Analyst,1,0.19%,75.01%,intern,data analyst
150,"Intern, Data Science",1,0.19%,75.20%,intern,data scientist
151,"Internship, Data Science Initiative",1,0.19%,75.39%,intern,data scientist
152,IT Data Custodian,1,0.19%,75.58%,senior,software developer
153,IT Manager - Data Management Director,1,0.19%,75.77%,senior,data science manager
154,iXp Intern - Data Science,1,0.19%,75.96%,intern,data scientist
155,Junior Quantitative Developer- Data Infrastructure,1,0.19%,76.15%,intermediate,data scientist
156,Life Actuary - Data Science,1,0.19%,76.34%,intermediate,data scientist
157,"Machine Learning, Data Science, and/or Computer Vision Researcher (Senior) - ATAS",1,0.19%,76.53%,senior,data scientist
158,Manager Data Science,1,0.19%,76.72%,senior,data science manager
159,Manager of Data Science,1,0.19%,76.91%,senior,data science manager
160,Manager-Clinical Data Mgt,1,0.19%,77.10%,senior,data science manager
161,"Manager, Analytics and Data Science",1,0.19%,77.29%,senior,data science manager
162,"Manager, Data Engineering",1,0.19%,77.48%,senior,data science manager
163,"manager, data science",1,0.19%,77.67%,senior,data science manager
164,"Manager, Data Science",2,0.38%,78.05%,senior,data science manager
165,"Manager, Data Science - Pricing & Inventory Systems",1,0.19%,78.24%,senior,data science manager
166,"Manager, Data Science & Analytics",1,0.19%,78.43%,senior,data science manager
167,Market Data Analyst Intern,1,0.19%,78.62%,intern,data analyst
168,Math/Computer Science/Statistics,1,0.19%,78.81%,intermediate,data scientist
169,Medical Science Liaison,1,0.19%,79.00%,intermediate,other
170,Medical Science Liaison (Boston),1,0.19%,79.19%,intermediate,other
171,Medical Science Liaison NEOther,1,0.19%,79.38%,intermediate,other
172,"Medical Science Liaison, Neurology (North Central US)",1,0.19%,79.57%,intermediate,other
173,"Medical Science Liaison, North and South Carolina",1,0.19%,79.76%,intermediate,other
174,Medical Sciences Medical Director Early Development - Internal Medicine,1,0.19%,79.95%,senior,data science manager
175,Mid-Atlantic Medical Science Liaison,1,0.19%,80.14%,intermediate,other
176,Middle School Science Teacher,2,0.38%,80.52%,entry level,other
177,"Middle School Science Teacher, 2017-2018 School Year",1,0.19%,80.71%,entry level,other
178,MTS - Data Protection (SQL Server),1,0.19%,80.90%,intermediate,software developer
179,Northwest Medical Science Liaison,1,0.19%,81.09%,intermediate,other
180,"Principal Associate, Data Science",1,0.19%,81.28%,senior,data scientist
181,Principal Data Analyst,1,0.19%,81.47%,senior,data analyst
182,Principal Data Scientist,1,0.19%,81.66%,senior,data scientist
183,Principal Data Scientist - SAP Innovative Business Solutions,1,0.19%,81.85%,senior,data scientist
184,"Principal, Data Science and Engineering",1,0.19%,82.04%,senior,data scientist
185,"Product Analyst, Data Science",3,0.56%,82.60%,intermediate,data analyst
186,"Product Analytics Lead, Data Science",1,0.19%,82.79%,senior,data scientist
187,Product Manager Data and Decisions Strategy,1,0.19%,82.98%,senior,data science manager
188,PROJECT COORDINATOR - DATA SCIENCE,1,0.19%,83.17%,intermediate,data scientist
189,Project Manager - Data Science Team,1,0.19%,83.36%,senior,data science manager
190,QA Automation Engineer - Data,1,0.19%,83.55%,intermediate,data engineer
191,"Quantitative Development Intern- Data Analysis, Summer",1,0.19%,83.74%,intern,data analyst
192,R&D Computer Science (Early/Mid-Career),1,0.19%,83.93%,entry level,data scientist
193,"R&D, Computer Science - C++/Java/Python/Agile/SAFe (Early/Mid-Career)",1,0.19%,84.12%,entry level,data scientist
194,Research and Development Engineer (Operations Research/Data Science Engineer),1,0.19%,84.31%,intermediate,data engineer
195,Research Director - Data Science,1,0.19%,84.50%,senior,data science manager
196,Research Engineer - Data Science,1,0.19%,84.69%,intermediate,data scientist
197,Research Scientist - Computer Sciences,1,0.19%,84.88%,intermediate,data scientist
198,RESEARCH SCIENTIST - PLANETARY SCIENCES,1,0.19%,85.07%,intermediate,data scientist
199,Safety Data Sheet Coordinator,1,0.19%,85.26%,senior,data science manager
200,Science / Engineering (Entry Level,1,0.19%,85.45%,entry level,data scientist
201,Science Curriculum Specialist,1,0.19%,85.64%,intermediate,data scientist
202,Science Teacher-IMMEDIATE OPENING,1,0.19%,85.83%,entry level,other
203,Scientific Software/Data Science Intern,1,0.19%,86.02%,intern,software developer
204,"Scientist, Data Science",1,0.19%,86.21%,intermediate,data scientist
205,"Scientist, Data Sciences",1,0.19%,86.40%,intermediate,data scientist
206,Scrum Master (Data Science/Data Analytics),1,0.19%,86.59%,senior,data scientist
207,"Secondary Science Teacher, 2017-2018 School Year",1,0.19%,86.78%,entry level,other
208,Security Data Science Engineer,1,0.19%,86.97%,intermediate,data scientist
209,"Senior Analyst, Data Science",2,0.38%,87.35%,senior,data analyst
210,"Senior Associate, Data Science & Analytics",1,0.19%,87.54%,senior,data scientist
211,Senior Business Analyst (Data),1,0.19%,87.73%,senior,data analyst
212,Senior Data Architect,1,0.19%,87.92%,senior,data engineer
213,Senior Data Engineer,4,0.75%,88.67%,senior,data engineer
214,"Senior Data Engineer, Data Science",1,0.19%,88.86%,senior,data scientist
215,Senior Data Science Analyst,1,0.19%,89.05%,senior,data analyst
216,Senior Data Science and Analytics.,2,0.38%,89.43%,senior,data scientist
217,Senior Data Science Engineer,1,0.19%,89.62%,senior,data scientist
218,Senior Data Science Instructor,1,0.19%,89.81%,senior,data scientist
219,Senior Data Science Lead,3,0.56%,90.37%,senior,data scientist
220,Senior Data Scientist,9,1.69%,92.06%,senior,data scientist
221,Senior Director Data Science,1,0.19%,92.25%,senior,data science manager
222,"Senior Director, Data Science",1,0.19%,92.44%,senior,data science manager
223,Senior Engineering Data Management Officer,1,0.19%,92.63%,senior,data engineer
224,"Senior Manager, Data Science",1,0.19%,92.82%,senior,data science manager
225,Senior Marketing Science Analyst,1,0.19%,93.01%,senior,data analyst
226,Senior Medical Science Liaison,1,0.19%,93.20%,senior,other
227,"Senior Medical Science Liaison ~ Ophthalmology, (West Coast)",1,0.19%,93.39%,senior,other
228,Senior Product Analyst (Data Science),1,0.19%,93.58%,senior,data analyst
229,Senior Product Manager - Data Services,1,0.19%,93.77%,senior,data science manager
230,"Senior Product Manager, Data and Analytics",1,0.19%,93.96%,senior,data science manager
231,Senior Scientist Data Sciences,1,0.19%,94.15%,senior,data scientist
232,Senior Security Data Science Engineer,1,0.19%,94.34%,senior,data scientist
233,Siri Realtime Data Science Engineer,1,0.19%,94.53%,intermediate,data scientist
234,Software Developer - Data Science/Machine Learning,1,0.19%,94.72%,intermediate,software developer
235,"Software Developer, Data Integration & ETL",1,0.19%,94.91%,intermediate,software developer
236,Software Engineer - Big Data,1,0.19%,95.10%,intermediate,software developer
237,Software Engineer - Big Data Development,1,0.19%,95.29%,intermediate,software developer
238,Software Engineer - Data Science,1,0.19%,95.48%,intermediate,software developer
239,Software Engineer (Data Science),1,0.19%,95.67%,intermediate,software developer
240,Software Engineer-Data Services,1,0.19%,95.86%,intermediate,software developer
241,Solutions Architect - Data Science,1,0.19%,96.05%,intermediate,data engineer
242,Sr Informatica Big Data Edition - BDE Developer,1,0.19%,96.24%,senior,software developer
243,Sr Software Engineer - Data Plane,1,0.19%,96.43%,senior,software developer
244,"Sr. Analyst, Marketing Data Science",3,0.56%,96.99%,senior,data analyst
245,"Sr. Backend Engineer, Data Systems",1,0.19%,97.18%,senior,data engineer
246,Sr. Business Solution Manager (Data Scientist),1,0.19%,97.37%,senior,data science manager
247,Sr. Data Engineer,1,0.19%,97.56%,senior,data engineer
248,Sr. Data Scientist,1,0.19%,97.75%,senior,data scientist
249,"Sr. Director, Data Science and Research",1,0.19%,97.94%,senior,data science manager
250,Sr. Enterprise Data Sales Exec,3,0.56%,98.50%,senior,data science manager
251,Sr. Software Engineer (Data Engineering),1,0.19%,98.69%,senior,software developer
252,"Statistical Assistant, Data Science",1,0.19%,98.88%,intermediate,data scientist
253,Strategic Data Scientist,1,0.19%,99.07%,intermediate,data scientist
254,Summer Intern - Data Scientist for Connected Car and Mobility Services,1,0.19%,99.26%,intern,data scientist
255,Supervisor of Applied Data Science,1,0.19%,99.45%,senior,data scientist
256,"Technical Sourcer, Data Science",1,0.19%,99.64%,intermediate,data scientist
257,"Test Development Specialist, Science",1,0.19%,99.83%,intermediate,data scientist
258,University Relations - Data Science Intern,1,0.19%,100.02%,intern,data scientist
259,"Vice President, Data Science",1,0.19%,100.21%,senior,data science manager
260,VP of Data Science,1,0.19%,100.40%,senior,data science manager
